date,geography,geography code,National Statistics Socio-economic Classification (NS-SEC): Total: All usual residents aged 16 years and over,"National Statistics Socio-economic Classification (NS-SEC): L1, L2 and L3 Higher managerial, administrative and professional occupations","National Statistics Socio-economic Classification (NS-SEC): L4, L5 and L6 Lower managerial, administrative and professional occupations",National Statistics Socio-economic Classification (NS-SEC): L7 Intermediate occupations,National Statistics Socio-economic Classification (NS-SEC): L8 and L9 Small employers and own account workers,National Statistics Socio-economic Classification (NS-SEC): L10 and L11 Lower supervisory and technical occupations,National Statistics Socio-economic Classification (NS-SEC): L12 Semi-routine occupations,National Statistics Socio-economic Classification (NS-SEC): L13 Routine occupations,National Statistics Socio-economic Classification (NS-SEC): L14.1 and L14.2 Never worked and long-term unemployed,National Statistics Socio-economic Classification (NS-SEC): L15 Full-time students
2021,Kensington and Chelsea,E09000020,123086,32237,24426,7920,13936,2854,7944,7005,12897,13867
2021,Kingston upon Thames,E09000021,135464,28368,31686,14074,14899,4580,10463,8397,9511,13486
2021,Lambeth,E09000022,268943,58885,62897,22368,23824,9765,20151,24770,22723,23560
2021,Lewisham,E09000023,242411,41143,56049,22741,23507,9940,22357,21598,23187,21889
2021,Merton,E09000024,172772,34454,37901,17544,21495,6641,14908,13527,13758,12544
2021,Newham,E09000025,276172,29613,42336,23023,33619,12009,28898,29868,41839,34967
2021,Redbridge,E09000026,242017,35495,44843,25653,33015,8248,21931,18661,29991,24180
2021,Richmond upon Thames,E09000027,155834,43355,41019,14195,17822,3954,8609,7198,8639,11043
2021,Southwark,E09000028,256136,53706,54979,20510,20341,9502,20396,24242,23212,29248
2021,Sutton,E09000029,165657,26877,37201,22204,19699,7502,15882,13345,12282,10665
2021,Tower Hamlets,E09000030,252883,52827,47718,19747,17956,8912,19905,18179,34572,33067
2021,Waltham Forest,E09000031,222182,30299,46563,21083,29891,9616,20382,21078,24265,19005
2021,Wandsworth,E09000032,273558,75671,68994,22309,25732,7814,16721,16227,19102,20988
2021,Westminster,E09000033,177470,44668,33967,11922,16668,4650,11431,10231,20973,22960
2021,Isle of Anglesey,W06000001,57148,5557,11764,6220,7445,3784,7868,6885,4586,3039
2021,Gwynedd,W06000002,97969,9098,19158,9266,13726,6005,12551,11659,6581,9925
2021,Conwy,W06000003,96364,9623,20253,10706,12496,6042,13606,10985,7737,4916
2021,Denbighshire,W06000004,78908,7355,16124,8790,9205,4875,11165,10114,6990,4290
2021,Flintshire,W06000005,127579,13482,25477,16269,11580,9144,16882,19297,8837,6611
2021,Wrexham,W06000006,110274,9898,20223,13302,9952,7664,14947,18288,9102,6898
2021,Ceredigion,W06000008,61391,6307,11691,5738,10518,3067,6454,5953,3525,8138
2021,Pembrokeshire,W06000009,102553,8720,19901,10101,15953,7320,15136,12638,8126,4658
2021,Carmarthenshire,W06000010,155485,13810,30781,17690,19897,9766,21653,20557,12662,8669
2021,Swansea,W06000011,197857,20489,37588,24373,15214,11272,24825,23991,17427,22678
2021,Neath Port Talbot,W06000012,117182,9008,20414,14666,8519,9047,17562,17902,11895,8169
2021,Bridgend,W06000013,119484,11542,24068,13729,9938,8527,17423,17206,10716,6335
2021,Vale of Glamorgan,W06000014,107456,15729,24931,13747,10388,5768,13058,9809,7930,6096
2021,Cardiff,W06000015,296313,42185,58143,32672,21375,12122,28754,27081,26084,47897
2021,Rhondda Cynon Taff,W06000016,193843,15692,34815,23487,16622,13202,27627,29590,19447,13361
2021,Caerphilly,W06000018,143479,12199,25466,18239,11209,10567,19933,23435,14525,7906
2021,Blaenau Gwent,W06000019,55144,3090,8336,5843,3974,4541,9477,10846,6267,2770
2021,Torfaen,W06000020,75114,6516,14229,9378,5741,5360,11045,12337,6658,3850
2021,Monmouthshire,W06000021,78239,12371,18369,8437,9727,4120,8341,8562,4628,3684
2021,Newport,W06000022,127423,14007,24712,16297,9666,7423,15766,19016,12517,8019
2021,Powys,W06000023,112536,11241,22709,11468,21163,6749,14183,13144,7042,4837
2021,Merthyr Tydfil,W06000024,47677,3188,8289,5666,3844,3508,6878,8390,5194,2720
